activity_comment,n,pct
885951,3,0.01
492343,3,0.01
714835,3,0.01
535320,3,0.01
955349,3,0.01
535322,3,0.01
714837,3,0.01
535324,3,0.01
885959,3,0.01
535360,3,0.01
714871,3,0.01
502967,3,0.01
1062249,3,0.01
502971,3,0.01
714873,3,0.01
502975,3,0.01
885965,3,0.01
535302,3,0.01
714875,3,0.01
548524,3,0.01
955351,3,0.01
548528,3,0.01
714877,3,0.01
548532,3,0.01
886065,3,0.01
548536,3,0.01
714847,3,0.01
535312,3,0.01
1294629,3,0.01
535314,3,0.01
714849,3,0.01
535316,3,0.01
886071,3,0.01
535318,3,0.01
714851,3,0.01
555888,3,0.01
955353,3,0.01
555894,3,0.01
714853,3,0.01
555898,3,0.01
886077,3,0.01
571677,3,0.01
714887,3,0.01
535364,3,0.01
1062250,3,0.01
535368,3,0.01
714889,3,0.01
535372,3,0.01
886083,3,0.01
535376,3,0.01
714891,3,0.01
576007,3,0.01
951753,3,0.01
576009,3,0.01
714893,3,0.01
576011,3,0.01
885993,3,0.01
576013,3,0.01
714863,3,0.01
555869,3,0.01
1062306,3,0.01
555875,3,0.01
714865,3,0.01
555879,3,0.01
885999,3,0.01
555884,3,0.01
714867,3,0.01
576023,3,0.01
955325,3,0.01
576025,3,0.01
714869,3,0.01
576027,3,0.01
886005,3,0.01
576029,3,0.01
714903,3,0.01
571679,3,0.01
980686,3,0.01
571681,3,0.01
714905,3,0.01
571683,3,0.01
886011,3,0.01
571685,3,0.01
714907,3,0.01
576039,3,0.01
955327,3,0.01
576041,3,0.01
714909,3,0.01
576043,3,0.01
886113,3,0.01
576045,3,0.01
714879,3,0.01
576015,3,0.01
1062251,3,0.01
576017,3,0.01
714881,3,0.01
576019,3,0.01
886119,3,0.01
576021,3,0.01
714883,3,0.01
597940,3,0.01
955329,3,0.01
597942,3,0.01
714885,3,0.01
597944,3,0.01
886125,3,0.01
597946,3,0.01
775504,3,0.01
576031,3,0.01
971774,3,0.01
576033,3,0.01
775513,3,0.01
576035,3,0.01
886131,3,0.01
576037,3,0.01
776001,3,0.01
597956,3,0.01
955363,3,0.01
597958,3,0.01
776012,3,0.01
597960,3,0.01
886041,3,0.01
597962,3,0.01
714895,3,0.01
576047,3,0.01
1062257,3,0.01
576049,3,0.01
714897,3,0.01
576051,3,0.01
886047,3,0.01
576053,3,0.01
714899,3,0.01
597972,3,0.01
955365,3,0.01
597974,3,0.01
714901,3,0.01
597976,3,0.01
886053,3,0.01
597978,3,0.01
776074,3,0.01
597948,3,0.01
971776,3,0.01
597950,3,0.01
776086,3,0.01
597952,3,0.01
886059,3,0.01
597954,3,0.01
776097,3,0.01
597988,3,0.01
955367,3,0.01
597990,3,0.01
776107,3,0.01
597992,3,0.01
886161,3,0.01
597994,3,0.01
715395,3,0.01
597964,3,0.01
1062253,3,0.01
597966,3,0.01
715399,3,0.01
597968,3,0.01
886167,3,0.01
597970,3,0.01
715409,3,0.01
598004,3,0.01
955369,3,0.01
598006,3,0.01
715418,3,0.01
598008,3,0.01
887395,3,0.01
598010,3,0.01
776169,3,0.01
597980,3,0.01
971778,3,0.01
597982,3,0.01
776180,3,0.01
597984,3,0.01
887397,3,0.01
597986,3,0.01
776194,3,0.01
598020,3,0.01
955339,3,0.01
598022,3,0.01
776206,3,0.01
598024,3,0.01
886089,3,0.01
598026,3,0.01
776024,3,0.01
597996,3,0.01
1062235,3,0.01
597998,3,0.01
776038,3,0.01
598000,3,0.01
886095,3,0.01
598002,3,0.01
776050,3,0.01
598037,3,0.01
955341,3,0.01
598040,3,0.01
776062,3,0.01
598042,3,0.01
886101,3,0.01
598044,3,0.01
776276,3,0.01
598012,3,0.01
980694,3,0.01
598014,3,0.01
776296,3,0.01
598016,3,0.01
886107,3,0.01
598018,3,0.01
776308,3,0.01
606385,3,0.01
955343,3,0.01
606387,3,0.01
776320,3,0.01
606892,3,0.01
887407,3,0.01
606894,3,0.01
776119,3,0.01
598028,3,0.01
1062255,3,0.01
598030,3,0.01
776131,3,0.01
598032,3,0.01
887409,3,0.01
598034,3,0.01
776145,3,0.01
606904,3,0.01
955345,3,0.01
606906,3,0.01
776156,3,0.01
616128,3,0.01
887411,3,0.01
616132,3,0.01
776385,3,0.01
603582,3,0.01
980696,3,0.01
603584,3,0.01
776402,3,0.01
603586,3,0.01
887413,3,0.01
603588,3,0.01
776413,3,0.01
616152,3,0.01
955379,3,0.01
616156,3,0.01
776431,3,0.01
616160,3,0.01
886137,3,0.01
616164,3,0.01
776223,3,0.01
606896,3,0.01
1062259,3,0.01
606898,3,0.01
776238,3,0.01
606900,3,0.01
886143,3,0.01
606902,3,0.01
776250,3,0.01
616184,3,0.01
955381,3,0.01
616188,3,0.01
776262,3,0.01
616192,3,0.01
886149,3,0.01
616196,3,0.01
776489,3,0.01
616136,3,0.01
980698,3,0.01
616140,3,0.01
776500,3,0.01
616144,3,0.01
886155,3,0.01
616148,3,0.01
776512,3,0.01
616216,3,0.01
963992,3,0.01
616220,3,0.01
776524,3,0.01
616224,3,0.01
887423,3,0.01
616228,3,0.01
776332,3,0.01
616168,3,0.01
1059706,3,0.01
616172,3,0.01
776343,3,0.01
616176,3,0.01
887425,3,0.01
616180,3,0.01
776355,3,0.01
616248,3,0.01
963994,3,0.01
616252,3,0.01
776370,3,0.01
616256,3,0.01
887427,3,0.01
616260,3,0.01
776717,3,0.01
616200,3,0.01
980700,3,0.01
616204,3,0.01
776739,3,0.01
616208,3,0.01
887429,3,0.01
616212,3,0.01
776751,3,0.01
616280,3,0.01
955355,3,0.01
616284,3,0.01
776775,3,0.01
616288,3,0.01
887399,3,0.01
616292,3,0.01
776444,3,0.01
616232,3,0.01
1062277,3,0.01
616236,3,0.01
776456,3,0.01
616240,3,0.01
887401,3,0.01
616244,3,0.01
776468,3,0.01
616312,3,0.01
955357,3,0.01
616316,3,0.01
776479,3,0.01
616320,3,0.01
887403,3,0.01
616324,3,0.01
776895,3,0.01
616264,3,0.01
980702,3,0.01
616268,3,0.01
776903,3,0.01
616272,3,0.01
887405,3,0.01
616276,3,0.01
776917,3,0.01
616344,3,0.01
955359,3,0.01
616348,3,0.01
776930,3,0.01
616352,3,0.01
887439,3,0.01
616356,3,0.01
776581,3,0.01
616296,3,0.01
1059708,3,0.01
616300,3,0.01
776616,3,0.01
616304,3,0.01
887441,3,0.01
616308,3,0.01
776688,3,0.01
616376,3,0.01
955361,3,0.01
616380,3,0.01
776700,3,0.01
616384,3,0.01
887443,3,0.01
616388,3,0.01
792950,3,0.01
616328,3,0.01
971790,3,0.01
616332,3,0.01
792952,3,0.01
616336,3,0.01
887445,3,0.01
616340,3,0.01
792954,3,0.01
616408,3,0.01
964004,3,0.01
616412,3,0.01
792956,3,0.01
616416,3,0.01
887415,3,0.01
616420,3,0.01
776792,3,0.01
616360,3,0.01
1062261,3,0.01
616364,3,0.01
776814,3,0.01
616368,3,0.01
887417,3,0.01
616372,3,0.01
776846,3,0.01
616460,3,0.01
964006,3,0.01
616464,3,0.01
776863,3,0.01
616468,3,0.01
887419,3,0.01
616475,3,0.01
792966,3,0.01
616392,3,0.01
971792,3,0.01
616396,3,0.01
792968,3,0.01
616400,3,0.01
887421,3,0.01
616404,3,0.01
792970,3,0.01
616495,3,0.01
964008,3,0.01
616499,3,0.01
792972,3,0.01
616503,3,0.01
887455,3,0.01
616507,3,0.01
786583,3,0.01
616424,3,0.01
1059710,3,0.01
616429,3,0.01
786585,3,0.01
616438,3,0.01
887457,3,0.01
616452,3,0.01
786587,3,0.01
616527,3,0.01
964010,3,0.01
616531,3,0.01
786589,3,0.01
616535,3,0.01
887459,3,0.01
616539,3,0.01
792982,3,0.01
616479,3,0.01
971794,3,0.01
616483,3,0.01
792984,3,0.01
616487,3,0.01
887461,3,0.01
616491,3,0.01
792986,3,0.01
616559,3,0.01
955371,3,0.01
616563,3,0.01
792988,3,0.01
616567,3,0.01
887431,3,0.01
616571,3,0.01
792958,3,0.01
616511,3,0.01
616515,3,0.01
792960,3,0.01
616519,3,0.01
887433,3,0.01
616523,3,0.01
792962,3,0.01
616591,3,0.01
955373,3,0.01
616595,3,0.01
792964,3,0.01
616599,3,0.01
887435,3,0.01
616603,3,0.01
792998,3,0.01
616543,3,0.01
988037,3,0.01
616547,3,0.01
793000,3,0.01
616551,3,0.01
887437,3,0.01
616555,3,0.01
793002,3,0.01
616623,3,0.01
955375,3,0.01
616627,3,0.01
793004,3,0.01
616631,3,0.01
887681,3,0.01
616635,3,0.01
792974,3,0.01
616575,3,0.01
1062263,3,0.01
616579,3,0.01
792976,3,0.01
616583,3,0.01
887683,3,0.01
616587,3,0.01
792978,3,0.01
616655,3,0.01
955377,3,0.01
616659,3,0.01
792980,3,0.01
616663,3,0.01
887685,3,0.01
616667,3,0.01
793014,3,0.01
616607,3,0.01
988039,3,0.01
616611,3,0.01
793016,3,0.01
616615,3,0.01
887687,3,0.01
616619,3,0.01
793018,3,0.01
616687,3,0.01
965035,3,0.01
616691,3,0.01
793020,3,0.01
616695,3,0.01
887447,3,0.01
616699,3,0.01
792990,3,0.01
616639,3,0.01
1062295,3,0.01
616643,3,0.01
792992,3,0.01
616647,3,0.01
887449,3,0.01
616651,3,0.01
792994,3,0.01
616719,3,0.01
965037,3,0.01
616723,3,0.01
792996,3,0.01
616727,3,0.01
887451,3,0.01
616731,3,0.01
