molregno,n_records,n_assays,n_docs,n_types,pref_name,inchikey
3233065,9,3,3,3,,VNHPQWIKEMUCOU-UHFFFAOYSA-N
3232179,9,3,3,3,,QBJRIEOQHPSKCT-UHFFFAOYSA-N
3109385,9,3,3,3,,CMVSBAIPUVOACG-UHFFFAOYSA-N
3107758,9,3,3,3,,WAMKTDMNNWORQL-UHFFFAOYSA-N
3049007,9,3,3,3,,ZUPWETAMZUYNQX-VOIUYBSRSA-N
3047900,9,3,3,3,,WFZPGJBHFFWPJO-UHFFFAOYSA-N
3043694,9,1,1,3,,YFKDBLSLMAWDMI-UHFFFAOYSA-N
3043688,9,3,3,3,,IFPIYUWYLHTNBQ-AKJBCIBTSA-N
3042801,9,3,3,3,,KYYVAMJLDCNSAX-UHFFFAOYSA-N
3041584,9,3,3,3,,XGMIOVORMGGKRQ-UHFFFAOYSA-N
3041250,9,3,3,3,,PSMHHQMMFQRLKJ-UHFFFAOYSA-N
3038715,9,3,3,3,,ZPTGKQWXVKFGAF-UHFFFAOYSA-N
3038555,9,3,3,3,,DLSUONXFKGICCB-DSNGTPCMSA-N
2500922,9,2,2,3,,RMHSPVDIAHEXNT-NSYGIPOTSA-N
3035404,9,3,3,3,,HDRWLCNLGWCVEP-IQGLISFBSA-N
3029120,9,3,3,3,,RYFZFQVKNZTNST-UHFFFAOYSA-N
3255010,9,3,3,3,,FYNCLYVDXSJMEF-PAPQREIWSA-N
3254810,9,1,1,3,,PSMLAMNCKIJHKF-UHFFFAOYSA-N
3026355,9,3,3,3,,LWJXASPQFQUOQO-UHFFFAOYSA-N
3256552,9,3,3,3,,CGWBNWSADUPPAJ-VOIUYBSRSA-N
3025385,9,3,3,3,,FZPXYYFMIBXZCN-UHFFFAOYSA-N
3025294,9,3,3,3,,DHEZHAYVEMRCBF-QKFKETGDSA-N
3024293,9,3,3,3,,JOFYCYZGTXIWEJ-ANAQZDLVSA-N
3230534,9,3,3,3,,UCIXEZCTTRFZIE-WAIKUNEKSA-N
3228842,9,3,3,3,,HBQZYLKZANANNP-OYLFLEFRSA-N
1959536,9,5,5,3,FEZOLINETANT,PPSNFPASKFYPMN-SECBINFHSA-N
3129041,9,3,3,3,,YAFFSXHTUKRGED-SGANQWHYSA-N
3125706,9,3,3,3,,TUAOOZUFWRCNSA-CRICUBBOSA-N
3121914,9,3,3,3,,UYQMGGVHIFKJLM-LJKQEARRSA-N
3120418,9,3,3,3,,VZEVLUAZSONWNE-UHFFFAOYSA-N
3119782,9,3,3,3,,SDKAQMVPMOVEBU-CRICUBBOSA-N
3119153,9,3,3,3,,JKJKFIRFFROVTG-PCKXHRCSSA-N
3117753,9,3,3,3,,BYGNCMHOYHEWQA-UHFFFAOYSA-N
3143653,9,3,3,3,,JAXCPQCVOJTKRR-WAIKUNEKSA-N
3143235,9,3,3,3,,DLSUONXFKGICCB-DRGJWEBESA-N
3143143,9,3,3,3,,FGJFWVZUSZMTOU-JLCFBVMHSA-N
3139313,9,3,3,3,,CLEHWPAJGUZRJR-YYULODDRSA-N
3135606,9,1,1,3,,QKAZUVQTHFXMLS-UHFFFAOYSA-N
3135276,9,3,3,3,,FBLXPLWOASVECE-GASCZTMLSA-N
3134142,9,3,3,3,,WJDRCCIYQLMRTE-XEVPPGCJSA-N
3023519,9,3,3,3,,CJXIOPIGXQHWQR-DRGJWEBESA-N
3023386,9,3,3,3,,XPZBVPYCFOTFST-CRICUBBOSA-N
3023172,9,3,3,3,,QPDXCTUIFSTHQD-UHFFFAOYSA-N
419596,9,8,8,3,NIFEDIPINE,HYIMSNHJOBLJNT-UHFFFAOYSA-N
3021303,9,3,3,3,,MNAXXXADIXEEEN-UHFFFAOYSA-N
3021139,9,3,3,3,,UYAMZNPPYFCASE-WGDIFIGCSA-N
3019423,9,3,3,3,,CISZCLKQAXVPAL-VOIUYBSRSA-N
3261368,9,3,3,3,,DTERKQCKRBDMMH-MRXNPFEDSA-N
2840343,9,3,3,3,,AFLLEYDANXDWBB-NIYFSFCBSA-N
3016996,9,3,3,3,,HYOZMZHBMIBFGM-WXTAPIANSA-N
3013451,9,3,3,3,,HXLFGYCGZKJHCO-DNOBIOAJSA-N
3221071,9,3,3,3,,PWLJEUUITTYQFX-OYLFLEFRSA-N
3151303,9,3,3,3,,UKXDASKXRNNVRK-VOIUYBSRSA-N
3151098,9,1,1,3,,ZNXAGHWUHRRZDM-UHFFFAOYSA-N
3150860,9,3,3,3,,XTDQQPAIIZAWPS-WGDIFIGCSA-N
3150850,9,3,3,3,,QJEINMSDKUUKPD-VOIUYBSRSA-N
3223181,9,3,3,3,,NTMXMRKJKVFRLP-UHFFFAOYSA-N
3221870,9,3,3,3,,BLNIJBCDTYVWCH-OYLFLEFRSA-N
3147566,9,3,3,3,,IWVPIRCUNQVONB-OYLFLEFRSA-N
3225191,9,3,3,3,,WKQGQXQKLGFDBG-UHFFFAOYSA-N
3224834,9,3,3,3,,DJOJMGVIZNWNIP-WAIKUNEKSA-N
3224628,9,3,3,3,,FMJXKYQMUWYLBL-WGDIFIGCSA-N
3144491,9,3,3,3,,SQVCHASDGKDJNV-MZNJEOGPSA-N
3144240,9,1,1,3,,MPWDKYRKRXRSKX-UHFFFAOYSA-N
3144234,9,3,3,3,,ZDPAZDLUXFSIMM-VOIUYBSRSA-N
3162845,9,1,1,3,,FXKUUXSFWISISL-NMVZSTGUSA-N
3160323,9,3,3,3,,NUGZEPKLLMSKCR-VOIUYBSRSA-N
3157387,9,3,3,3,,USIFNCZDZPSPJZ-DNOBIOAJSA-N
3155082,9,3,3,3,,PHZROAIBUPMONR-UHFFFAOYSA-N
3154732,9,3,3,3,,PNDWRQVFLAHHDE-UHFFFAOYSA-N
3153876,9,3,3,3,,IELFPOQNITXXKS-IVZQSRNASA-N
3011077,9,3,3,3,,NJZWTUKRSGIMHG-GYCJOSAFSA-N
3010974,9,3,3,3,,IMBVMXSLGHMNGP-IQMFZBJNSA-N
3009645,9,3,3,3,,RDIAWWAMKAXZHA-WAIKUNEKSA-N
3266948,9,1,1,3,,UNUPAGHCXHMCOJ-UHFFFAOYSA-N
3266862,9,3,3,3,,FGEUFBBIOSZEBO-UHFFFAOYSA-N
21697,9,8,3,4,ROFECOXIB,RZJQGNCSTQAWON-UHFFFAOYSA-N
2960774,9,3,3,3,,DJLIOXKSBVOKTM-NSYGIPOTSA-N
2960401,9,3,3,3,,VIFIJKQSOSJVSI-PUAOIOHZSA-N
2958884,9,3,3,3,,IRSWAIQUVPQZDP-UHFFFAOYSA-N
2958829,9,3,3,3,,FOIDHVYAXXYCBP-DNOBIOAJSA-N
2958567,9,3,3,3,,DEAASBVHFNAUFE-CMJOXMDJSA-N
3006324,9,3,3,3,,HNDBRZGKFVDIIO-NSYGIPOTSA-N
3005567,9,3,3,3,,TYXUAVZCTAVLOO-UHFFFAOYSA-N
3005222,9,3,3,3,,OJGOUNHODAIUMQ-DNOBIOAJSA-N
3004585,9,3,3,3,,VUFCSTHNGFATSK-MRXNPFEDSA-N
3004484,9,3,3,3,,VZAOUKAMMQNRFW-UHFFFAOYSA-N
2971138,9,3,3,3,,IIYHIECNJOXBNP-UHFFFAOYSA-N
1608345,9,8,2,6,,XRXXKWOKXISVCY-UHFFFAOYSA-N
119288,9,8,8,3,PERHEXILINE,CYXKNKQEMFBLER-UHFFFAOYSA-N
3170332,9,3,3,3,,HJOWIZWEMFJVRX-VMPBMTGNSA-N
3169393,9,3,3,3,,AAUZPIUROATGLA-WGDIFIGCSA-N
3168643,9,3,3,3,,JFIIYWRSZXNVNN-BDFQYQKBSA-N
3168625,9,3,3,3,,QSMHGPDOUHQTDP-UHFFFAOYSA-N
3164982,9,3,3,3,,JOFYCYZGTXIWEJ-DDWQGHIRSA-N
3164227,9,3,3,3,,RECFYTHQLNPCBY-UHFFFAOYSA-N
3216727,9,3,3,3,,ZFSDGASFASUELO-CTYIDZIISA-N
3215682,9,3,3,3,,GPAKPVKYBBRSFQ-MZNJEOGPSA-N
2970698,9,3,3,3,,CTXBQQDROKYAER-UHFFFAOYSA-N
2969522,9,3,3,3,,LUYUYCNQIRCBNT-WAIKUNEKSA-N
